estado;inicio;varinicio;varfim;pt_v;id;vir;inteiro;real;literal;leia;escreva;lit;num;atr;opa;se;ab_p;fc_p;entao;opr;fimse;fim;eof
34;ERRO-34-inicio;ERRO-34-varinicio;ERRO-34-varfim;ERRO-34-pt_v;S12;ERRO-34-vir;ERRO-34-inteiro;ERRO-34-real;ERRO-34-literal;S10;S11;ERRO-34-lit;ERRO-34-num;ERRO-34-atr;ERRO-34-opa;S14;ERRO-34-ab_p;ERRO-34-fc_p;ERRO-34-entao;ERRO-34-opr;S35;ERRO-34-fim;ERRO-34-eof
35;ERRO-35-inicio;ERRO-35-varinicio;ERRO-35-varfim;ERRO-35-pt_v;R30;ERRO-35-vir;ERRO-35-inteiro;ERRO-35-real;ERRO-35-literal;R30;R30;ERRO-35-lit;ERRO-35-num;ERRO-35-atr;ERRO-35-opa;R30;ERRO-35-ab_p;ERRO-35-fc_p;ERRO-35-entao;ERRO-35-opr;R30;R30;ERRO-35-eof
36;ERRO-36-inicio;ERRO-36-varinicio;ERRO-36-varfim;ERRO-36-pt_v;S45;ERRO-36-vir;ERRO-36-inteiro;ERRO-36-real;ERRO-36-literal;ERRO-36-literal;ERRO-36-escreva;ERRO-36-lit;S46;ERRO-36-atr;ERRO-36-opa;ERRO-36-se;ERRO-36-ab_p;ERRO-36-fc_p;ERRO-36-entao;ERRO-36-opr;ERRO-36-fimse;ERRO-36-fim;ERRO-36-eof
37;ERRO-37-inicio;ERRO-37-varinicio;ERRO-37-varfim;ERRO-37-pt_v;R3;ERRO-37-vir;ERRO-37-inteiro;ERRO-37-real;ERRO-37-literal;R3;R3;ERRO-37-lit;ERRO-37-num;ERRO-37-atr;ERRO-37-opa;R3;ERRO-37-ab_p;ERRO-37-fc_p;ERRO-37-entao;ERRO-37-opr;ERRO-37-fimse;R3;ERRO-37-eof
38;ERRO-38-inicio;ERRO-38-varinicio;ERRO-38-varfim;ERRO-38-pt_v;R4;ERRO-38-vir;ERRO-38-inteiro;ERRO-38-real;ERRO-38-literal;R4;R4;ERRO-38-lit;ERRO-38-num;ERRO-38-atr;ERRO-38-opa;R4;ERRO-38-ab_p;ERRO-38-fc_p;ERRO-38-entao;ERRO-38-opr;ERRO-38-fimse;R4;ERRO-38-eof
39;ERRO-39-inicio;ERRO-39-varinicio;ERRO-39-varfim;S52;ERRO-39-id;ERRO-39-vir;ERRO-39-inteiro;ERRO-39-real;ERRO-39-literal;ERRO-39-literal;ERRO-39-escreva;ERRO-39-lit;ERRO-39-num;ERRO-39-atr;ERRO-39-opa;ERRO-39-se;ERRO-39-ab_p;ERRO-39-fc_p;ERRO-39-entao;ERRO-39-opr;ERRO-39-fimse;ERRO-39-fim;ERRO-39-eof
40;ERRO-40-inicio;ERRO-40-varinicio;ERRO-40-varfim;R7;ERRO-40-id;S53;ERRO-40-inteiro;ERRO-40-real;ERRO-40-literal;ERRO-40-literal;ERRO-40-escreva;ERRO-40-lit;ERRO-40-num;ERRO-40-atr;ERRO-40-opa;ERRO-40-se;ERRO-40-ab_p;ERRO-40-fc_p;ERRO-40-entao;ERRO-40-opr;ERRO-40-fimse;ERRO-40-fim;ERRO-40-eof
41;ERRO-41-inicio;ERRO-41-varinicio;ERRO-41-varfim;ERRO-41-pt_v;R12;ERRO-41-vir;ERRO-41-inteiro;ERRO-41-real;ERRO-41-literal;R12;R12;ERRO-41-lit;ERRO-41-num;ERRO-41-atr;ERRO-41-opa;R12;ERRO-41-ab_p;ERRO-41-fc_p;ERRO-41-entao;ERRO-41-opr;R12;R12;ERRO-41-eof
42;ERRO-42-inicio;ERRO-42-varinicio;ERRO-42-varfim;ERRO-42-pt_v;R13;ERRO-42-vir;ERRO-42-inteiro;ERRO-42-real;ERRO-42-literal;R13;R13;ERRO-42-lit;ERRO-42-num;ERRO-42-atr;ERRO-42-opa;R13;ERRO-42-ab_p;ERRO-42-fc_p;ERRO-42-entao;ERRO-42-opr;R13;R13;ERRO-42-eof
43;ERRO-43-inicio;ERRO-43-varinicio;ERRO-43-varfim;S54;ERRO-43-id;ERRO-43-vir;ERRO-43-inteiro;ERRO-43-real;ERRO-43-literal;ERRO-43-literal;ERRO-43-escreva;ERRO-43-lit;ERRO-43-num;ERRO-43-atr;ERRO-43-opa;ERRO-43-se;ERRO-43-ab_p;ERRO-43-fc_p;ERRO-43-entao;ERRO-43-opr;ERRO-43-fimse;ERRO-43-fim;ERRO-43-eof
44;ERRO-44-inicio;ERRO-44-varinicio;ERRO-44-varfim;R20;ERRO-44-id;ERRO-44-vir;ERRO-44-inteiro;ERRO-44-real;ERRO-44-literal;ERRO-44-literal;ERRO-44-escreva;ERRO-44-lit;ERRO-44-num;ERRO-44-atr;S55;ERRO-44-se;ERRO-44-ab_p;ERRO-44-fc_p;ERRO-44-entao;ERRO-44-opr;ERRO-44-fimse;ERRO-44-fim;ERRO-44-eof
45;ERRO-45-inicio;ERRO-45-varinicio;ERRO-45-varfim;R21;ERRO-45-id;ERRO-45-vir;ERRO-45-inteiro;ERRO-45-real;ERRO-45-literal;ERRO-45-literal;ERRO-45-escreva;ERRO-45-lit;ERRO-45-num;ERRO-45-atr;R21;ERRO-45-se;ERRO-45-ab_p;R21;ERRO-45-entao;R21;ERRO-45-fimse;ERRO-45-fim;ERRO-45-eof
